region,statename,avg_2015,avg_2016,avg_2017,avg_2018,avg_2019,avg_2020,avg_2021,avg_2022,avg_2023,avg_2024
Midwest,MI,0.18,0.19,0.18,0.2,0.2,0.19,0.2,0.26,0.28,0.28
Midwest,MI,0.19,0.19,0.2,0.22,0.21,0.19,0.22,0.27,0.32,0.31
Midwest,MI,0.17,0.17,0.18,0.19,0.18,0.16,0.19,0.26,0.27,0.26
Midwest,MI,0.16,0.16,0.16,0.16,0.15,0.15,0.16,0.21,0.23,0.23
Midwest,MN,0.22,0.22,0.23,0.25,0.23,0.22,0.24,0.31,0.33,0.31
Midwest,MN,0.19,0.18,0.19,0.2,0.19,0.18,0.19,0.26,0.27,0.26
Midwest,MN,0.18,0.19,0.2,0.21,0.2,0.19,0.21,0.29,0.31,0.3
Midwest,MN,0.21,0.21,0.21,0.22,0.21,0.21,0.23,0.3,0.32,0.31
Midwest,MN,0.26,0.27,0.28,0.27,0.25,0.23,0.24,0.29,0.3,0.26
Midwest,MN,0.18,0.21,0.22,0.23,0.22,0.21,0.23,0.32,0.35,0.34
Midwest,MO,0.19,0.19,0.19,0.2,0.19,0.18,0.2,0.26,0.27,0.27
Southeast,NC,0.2,0.21,0.21,0.24,0.23,0.22,0.25,0.36,0.38,0.35
Southeast,NC,0.22,0.22,0.22,0.24,0.22,0.21,0.25,0.35,0.36,0.33
Southeast,NC,0.2,0.19,0.2,0.22,0.2,0.19,0.21,0.3,0.32,0.3
Southeast,NC,0.19,0.19,0.19,0.21,0.21,0.19,0.21,0.3,0.32,0.3
Southeast,NC,0.25,0.25,0.25,0.27,0.25,0.23,0.26,0.37,0.38,0.35
Southeast,NC,0.22,0.21,0.21,0.23,0.22,0.19,0.21,0.3,0.31,0.3
Southeast,NC,0.27,0.28,0.29,0.31,0.27,0.26,0.3,0.44,0.47,0.46
Southeast,NC,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.3,0.33,0.31
Southeast,NC,0.17,0.17,0.18,0.19,0.17,0.16,0.16,0.24,0.26,0.24
Northeast,NJ,0.26,0.26,0.26,0.28,0.26,0.25,0.26,0.34,0.37,0.38
West,NV,0.23,0.23,0.25,0.29,0.27,0.25,0.29,0.42,0.41,0.4
West,NV,0.29,0.3,0.31,0.34,0.3,0.28,0.34,0.47,0.48,0.46
West,NV,0.27,0.28,0.29,0.34,0.32,0.3,0.36,0.47,0.46,0.46
Northeast,NY,0.44,0.44,0.45,0.48,0.44,0.41,0.44,0.57,0.59,0.58
Midwest,OH,0.19,0.19,0.19,0.21,0.2,0.19,0.21,0.29,0.31,0.28
Midwest,OH,0.15,0.15,0.15,0.16,0.15,0.14,0.16,0.21,0.24,0.23
Midwest,OH,0.17,0.17,0.17,0.17,0.15,0.15,0.15,0.2,0.2,0.19
Midwest,OH,0.15,0.14,0.14,0.15,0.14,0.14,0.15,0.19,0.19,0.18
