StateName,RegionName,AVG_2015,AVG_2016,AVG_2017,AVG_2018,AVG_2019,AVG_2020,AVG_2021,AVG_2022,AVG_2023,AVG_2024
AK,Pacific,0.226005504125,0.227918972625,0.23418227508333334,0.2523606164166667,0.25312037791666664,0.23374948758333336,0.22519393175000002,0.2872558685833333,0.31160616933333335,0.33748177316666667
AL,South,0.18478868240277777,0.18025658748611112,0.18521414716666668,0.19731496420833333,0.18596276602777778,0.1788740011597222,0.18731603368055555,0.24421397790277777,0.27279713425694446,0.28616700855
AR,South,0.1852948678611111,0.18260196252777777,0.18729568381944445,0.19576854440277777,0.18755248995833335,0.17756842041666668,0.1870046508888889,0.24463347359722223,0.2558883447,0.26918412641666667
AZ,West,0.24171958793055554,0.2407042225277778,0.2518459645138889,0.2695829588888889,0.2635189718888889,0.2475128049,0.28282429780555557,0.39012845429166665,0.4157152078888889,0.4146572788472222
CA,West,0.35208170666346156,0.35453349348397434,0.37098281789423077,0.3987990139647436,0.37473798010897436,0.3511419057596154,0.37698312452666666,0.5006868430666667,0.5355236867275641,0.5401756604166666
CO,West,0.2514454501547619,0.2622236835357143,0.28314003602380955,0.30255819672619044,0.2976236182638889,0.27469480757142856,0.2915257184880952,0.3994262856309524,0.43305436369047623,0.43730325280555554
CT,Northeast,0.2649467271666667,0.25823627775,0.26464054108333335,0.27575786652083334,0.26081616614583336,0.24455401352083334,0.25617795577083335,0.31729361345833335,0.35897334000000003,0.37555952931250003
DE,Northeast,0.23270859329166665,0.23002743158333333,0.242624031,0.2550329949166667,0.24249864429166668,0.22126923204166665,0.229715916375,0.30806582754166667,0.352337212125,0.395533148
FL,Southeast,0.24526055844318181,0.24945321840530305,0.2620458930340909,0.2757879513825758,0.26086600359469697,0.2476115965757576,0.26390890968939396,0.3694792153409091,0.41290233877272725,0.42477932654166667
GA,Southeast,0.19667929491666666,0.19235206891666667,0.19757268442857143,0.2082273915595238,0.2019363788690476,0.1919239343095238,0.20156996645833333,0.2654940921190476,0.2954388747202381,0.3091014676111111
HI,Pacific,0.4306333155,0.425363821625,0.46196617079166663,0.4948258168333333,0.47789845341666665,0.45350525225000005,0.47589043025,0.6585533907500001,0.723694764625,0.6051216596666666
IA,Midwest,0.19253255497619048,0.19044288413095237,0.19607406383333334,0.20368611016666666,0.1978748306547619,0.18594543619047618,0.1868002118095238,0.23653978345238097,0.2714273129642857,NA
ID,West,0.2177952146527778,0.2161416587222222,0.23335622293055555,0.25343895806944444,0.25084189493055553,0.24668613530555555,0.2875165591527778,0.39004552819444444,0.4095795251527778,0.4035505205
IL,Midwest,0.18289833575757575,0.18603026662037037,0.18536618008333333,0.196222350775,0.18570585529166667,0.17027192765151516,0.1725380586969697,0.21085352370454546,0.23599240331818183,NA
IN,Midwest,0.2709065781666667,0.15490249629166666,0.16144615225694445,0.17400899028472222,0.16857065510416666,0.16193094360416666,0.17301410316666666,0.2266985067361111,0.26143870795833335,0.24643265591666666
KS,Midwest,0.18284446941666666,0.19081104583333333,0.20338377489583334,0.21997669108333334,0.209176871,0.18993960377777777,0.20109183077777779,0.2685410471458333,0.30477808427083336,NA
KY,Southeast,0.17362846443333332,0.17089113691666666,0.18143206428333333,0.19467368225,0.18894518525,0.1780440426,0.19299264175,0.2485614105,0.29426431658333335,0.32140832608333336
LA,South,0.23224787904166666,0.23433124147979797,0.2366669597222222,0.24212352944444443,0.2272730760925926,0.21328033161111112,0.21002835235185185,0.25626500021296295,0.2786996970833333,0.23625306229166665
MA,Northeast,0.28827160213333336,0.28549668625,0.2975401469833333,0.3128462860833333,0.2965310288833333,0.2794500790666667,0.29709750375,0.38377684133333334,0.43336535181666663,0.44669994826666665
MD,Northeast,0.20491925433333333,0.19848874647916667,0.20181364560416665,0.2110177421875,0.19865568208333334,0.187483076125,0.19499960304166666,0.2497037035625,0.280896870875,0.2841624159791667
ME,Northeast,0.23511624847222223,0.2304461047777778,0.2437266922777778,0.2557376871388889,0.2459593324722222,0.23344787530555555,0.24967758758333333,0.3229153598333333,0.3645540145833333,0.37283729755555556
